skill,skillName,eff
114,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Edinburgh-class I (II)
115,Combustion Order ,เพิ่มค่าความเสียหายจากกระสุนระเบิด 15.0% (25.0%) และเพิ่มโอกาสติดไฟจากกระสุนระเบิด 1.2% (3.0%)
115,Smoke BombLight Cruiser ,หลังการต่อสู้ผ่านไป 10 วินาที จะเริ่มใช้ระเบิดควันและหลังจากนั้นทุก 20 วินาที จะมีโอกาส 20.0% ที่จะใช้ระเบิดควันอีกกองเรือแถวหน้าที่อยู่ในม่านควันเพิ่มโอกาสหลบหลีกสูงขึ้น 15.0% (35.0%)และลดความเสียหายที่ได้รับจากการโจมตีทางอากาศ 15.0% (35.0%) แสดงผลนาน 10 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
115,Exclusive Barrage - Belfast (-),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Belfast I (II)
116,Reload Order ,ทุก 20 วินาทีมีโอกาส 25.0%เพิ่มความเร็วโหลดกระสุน 5.0% (25.0%)นาน 8 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
116,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Arethusa-class I (II)
117,Tactical CommandCruiser ,เพิ่มค่าพลังโจมตีปืนใหญ่ความแรงตอร์ปิโด และความเร็วโหลดกระสุนให้แก่เรือลาดตระเวนทุกลำในกองเรือ 1.0% (10.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
117,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Arethusa-class I (II)
179,PrototypeCruiser ,เรือลาดตระเวนเบาและเรือลาดตระเวนหนักในกองเรือได้รับค่าประสบการณ์เพิ่มขึ้น 5.0% (15.0%)
179,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
179,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Yuubari-class I (II)
182,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
182,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Nagara-class I (II)
183,Air Defense Mode ,เมื่อปืนต่อต้านอากาศยานทำงานมีโอกาส 25.0% เพิ่มค่าต่อต้านอากาศยานให้ตนเอง 20.0% (40.0%) โดยลดค่าโจมตีปืนใหญ่ 40.0% (20.0%)  เป็นการแลกเปลี่ยนนาน 3 วินาที
183,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Nagara-class I (II)
187,Torpedo CommandDestroyer ,เพิ่มค่าตอร์ปิโดให้แก่เรือพิฆาตทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
187,Chain Torpedo  (ได้รับหลัง Remodel),ทุกครั้งที่สั่งยิงตอร์ปิโดมีโอกาส 15.0% (30.0%) ที่จะยิงตอร์ปิโดแถมอีก 1 ชุด
187,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Nagara-class I (II)
238,Reload CommandCruiser ,เพิ่มค่าความเร็วโหลดกระสุนให้แก่เรือลาดตระเวนทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
238,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Knigsberg-class I (II)
239,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
239,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Knigsberg-class I (II)
240,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
240,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Knigsberg-class I (II)
241,Tactical CommandCruiser ,เพิ่มค่าพลังโจมตีปืนใหญ่ความแรงตอร์ปิโด และความเร็วโหลดกระสุนให้แก่เรือลาดตระเวนทุกลำในกองเรือ 1.0% (10.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
241,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Leipzig-class I (II)
257,Impede of Brilliant East ,เมื่อมี Ping Hai และ Ning Hai อยู่ในกองเรือลดความเสียหายที่ได้รับ 8.0% (20.0%) และเพิ่มค่าหลบหลีก 15.0% (30.0%) ให้แก่ตนเองและเรือทั้ง 2 ลำ
257,Sakura Resistance ,สร้างความเสียหายแก่กองเรือ IJN (ญี่ปุ่น) มากขึ้น 5.0% (25.0%)
257,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 18 (12) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Yi Xian I (II)
258,Sister Concentric ,เมื่อมี Ping Hai อยู่ในกองเรือเพิ่มค่าพลังโจมตีปืนใหญ่ 15.0% (35.0%)
258,Sakura Resistance ,สร้างความเสียหายแก่กองเรือ IJN (ญี่ปุ่น) มากขึ้น 5.0% (25.0%)
258,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Ning Hai I (II)
259,Sister Concentric ,เมื่อมี Ning Hai อยู่ในกองเรือเพิ่มค่าพลังโจมตีปืนใหญ่ 15.0% (35.0%)
259,Sakura Resistance ,สร้างความเสียหายแก่กองเรือ IJN (ญี่ปุ่น) มากขึ้น 5.0% (25.0%)
259,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Ning Hai I (II)
262,Cannonfire of a Changing Era ,กองเรือแถวหน้าทุกลำสร้างความเสียหายเพิ่มขึ้น 15.0% (30.0%)
262,Exclusive Barrage - Avrora (-),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Avrora I (II)
303,Artillery CommandCruiser ,เพิ่มค่าพลังโจมตีปืนใหญ่ให้แก่เรือลาดตระเวนทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
303,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Omaha-class I (II)
