skill,skillName,eff
123,Frontal Armor ,เมื่อได้รับความเสียหายมีโอกาส 15.0%สร้างโล่ขึ้นป้องกันด้านหน้าตนเองโล่สามารถป้องกันกระสุนได้ 12 นัด หรืออยู่นานจนกว่าจะครบ 5 (15) วินาที
123,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Norfolk-class I (II)
124,At the end of the journey ,เพิ่มโอกาสสร้างความเสียหายแบบคริติคอลของตอร์ปิโด 20.0% (40.0%)และเพิ่มความเสียหายแบบคริติคอลของตอร์ปิโด 50.0%
124,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Norfolk-class I (II)
125,Magic Cannon-Armageddon! (-Armageddon),เมื่อยิงโจมตีมีโอกาส 20.0% ที่จะเพิ่มความเสียหายปืนใหญ่ 20.0% (40.0%)นาน 8 วินาที
125,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - York-class I (II)
126,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
126,Defense Order ,ทุก 20 วินาทีมีโอกาส 25.0%ลดทอนความเสียหายที่กองเรือได้รับลง 5.0% (15.0%)นาน 8 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
126,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - York-class I (II)
190,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
190,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Furutaka-class I (II)
191,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
191,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Furutaka-class I (II)
192,Full Fire Power ,ทุก 25 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าพลังโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
192,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Furutaka-class I (II)
193,Full Fire Power ,ทุก 25 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าพลังโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
193,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Furutaka-class I (II)
196,Alluring Fire Power ,ทุก 20 วินาทีมีโอกาส 10.0% (40.0%) ที่จะดูดซับ 50% ของความเสียหายที่กองเรือแถวหน้าได้รับเป็นระยะเวลา 8 วินาทีสกิลประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
196,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Myoukou-class I (II)
197,Alluring Fire Power ,ทุก 20 วินาทีมีโอกาส 10.0% (40.0%) ที่จะดูดซับ 50% ของความเสียหายที่กองเรือแถวหน้าได้รับเป็นระยะเวลา 8 วินาทีสกิลประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
197,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Myoukou-class I (II)
200,Focus Fire ,กระสุนจากปืนหลักมีโอกาส 15.0% (30.0%) ที่จะทำความเสียหายซ้ำ 2 ครั้ง
200,Chain Torpedo ,ทุกครั้งที่สั่งยิงตอร์ปิโดมีโอกาส 15.0% (30.0%) ที่จะยิงตอร์ปิโดแถมอีก 1 ชุด
200,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Takao-class I (II)
201,Arsonist ,อาวุธที่สร้างความเสียหายประเภทระเบิดเพลิงมีโอกาสทำให้เป้าหมายติดไฟเพิ่มขึ้น 4.5.0% (12.0%)และเพิ่มความเสียหายที่สร้างจากการติดไฟมากขึ้น 20.0% (50.0%)
201,Chain Torpedo ,ทุกครั้งที่สั่งยิงตอร์ปิโดมีโอกาส 15.0% (30.0%) ที่จะยิงตอร์ปิโดแถมอีก 1 ชุด
201,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Takao-class I (II)
202,Ten Thousand NightTryastria Sky ,เพิ่มความเร็วโหลดกระสุน 15.0% (25.0%)และทุกครั้งที่ยิงตอร์ปิโดมีโอกาส 15.0% (30.0%) ที่จะยิงตอร์ปิโดเพิ่มอีก 1 ชุด
202,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Takao-class I (II)
244,Unbreakable Shield ,ทุก 20 วินาทีมีโอกาส 40.0% (70.0%) สร้างโล่ป้องกันขึ้น 3 อันหมุนรอบตัวโล่แต่ละอันสามารถบล็อคกระสุนได้ 10 นัด ก่อนหายไปโล่ทุกอันรอบตัวอยู่ได้นาน 10 วินาที
244,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Admiral Hipper-class I (II)
242,Protective Shield ,ทุก 30 วินาที สร้างโล่ป้องกันสองด้านขึ้นหมุนรอบตัวโล่แต่ละอันสามารถป้องกันกระสุนได้ 10 นัด หรืออยู่ได้นานสูงสุด 5 (15) วินาที
242,Focused Defense ,เมื่อถูกโจมตีมีโอกาส 3.5.0% (8.0%) ที่จะลดความเสียหายที่ได้รับลง 50.0%
242,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Admiral Hipper-class I (II)
245,Pocket Battleship ,เพิ่มความเสียหายที่สร้างต่อเรือพิฆาตและเรือลาดตระเวนเบา 15.0% (35.0%)
245,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Deutschland-class I (II)
