skill,skillName,eff
145,Armored Carrier ,ทุกครั้งหลังใช้คำสั่ง Airstrikeเพิ่มบาเรียป้องกันกองเรือแถวหน้าบาเรียป้องกันความเสียหายได้เท่ากับ 5.0% (10.0%) ของพลังชีวิตตนเอง นาน 8 วินาที
224,Preemptive Victory  ,เมื่ออยู่ในช่วงโจมตีคูลดาวน์ของคำสั่ง Airstrike ในรอบแรกลดลง 20.0% (50.0%)
224,Ikkousen ,เมื่อมี Kaga อยู่ในกองเรือค่าพลังโจมตีทางอากาศของตนเองเพิ่มขึ้น 15.0% (30.0%)
225,Preemptive Victory  ,เมื่ออยู่ในช่วงโจมตีคูลดาวน์ของคำสั่ง Airstrike ในรอบแรกลดลง 20.0% (50.0%)
225,Ikkousen ,เมื่อมี Akagi อยู่ในกองเรือค่าพลังโจมตีทางอากาศของตนเองเพิ่มขึ้น 15.0% (30.0%)
226,Aircraft Carrier Fleet ,ทุกครั้งที่ส่งฝูงเครื่องบินออกไปด้วยคำสั่ง Airstrikeเพิ่มค่าพลังโจมตีปืนใหญ่ให้กับกองเรือแถวหน้าทั้งหมด 5.0% (15.0%)  นาน 8 วินาที
226,Nikkousen ,เมื่อมี Hiryuu อยู่ในกองเรือค่าพลังโจมตีทางอากาศของตนเองเพิ่มขึ้น 15.0% (35.0%)
227,The Last Counter Attack ,เมื่อได้รับความเสียหายที่ทำให้จมจะไม่จม (เหลือค่าพลังชีวิตไว้ 1) และได้รับสถานะหลบหลีกการโจมตีทุกชนิดนาน 5 (15) วินาที พร้อมกับส่งฝูงเครื่องบินพิเศษจากสกิลเข้าจู่โจมศัตรูทันที (ความเสียหายขึ้นอยู่กับเลเวลสกิล)ทุก 1 การต่อสู้จะแสดงผลสกิลนีได้ครั้งเดียวเท่านั้น
227,Nikkousen ,เมื่อมี Soryuu อยู่ในกองเรือค่าพลังโจมตีทางอากาศของตนเองเพิ่มขึ้น 15.0% (35.0%)
228,Gokkousen  ,เมื่อคู่กับ Zuikakuค่าโจมตีทางอากาศเพิ่มขึ้น 12.0% (30.0%) และ ได้รับความเสียหายเพิ่มขึ้น 4.0% (10.0%)
228,Crane's Protection ,หลังคำสั่ง Airstrikeบัฟทั้งกองเรือให้สร้างความเสียหายได้มากขึ้น 4.0% (10.0%) และลดความเสียหายที่ได้รับ 4.0% (10.0%)แสดงผลนาน 12 วินาที
229,Gokkousen  ,เมื่อคู่กับ Shoukakuค่าโจมตีทางอากาศเพิ่มขึ้น 8.0% (20.0%) และ ได้รับความเสียหายลดลง 8.0% (20.0%)
229,Crane's Endeavor ,เมื่อใช้คำสั่ง Airstrikeเพิ่มความเสียหายที่สร้างจากการโจมตีทางอากาศในครั้งถัดไป 8.0% (20.0%)แสดงผลบัฟทับซ้อนได้สูงสุด 3 ครั้ง
252,Wings of Iron Blood ,ลดความเสียหายที่ได้รับจากเรือฝ่าย Iron Blood (เรือเยอรมัน) ลง 5.0% (15.0%)
252,Eagle of Iron Blood ,เมื่อใช้เครื่องบินฝ่าย Iron Blood (เครื่องบินเยอรมัน) (BF-109TME-155AJu-87C) จะเพิ่มประสิทธิภาพเครื่องบินดังกล่าวมากขึ้น 15.0% (30.0%).
